Date,Open,High,Low,Close,Adj Close,Volume
1/1/2021,477,493.25,477,491.149994,490.615631,5035248
1/4/2021,492,502.600006,486.649994,494.5,493.961975,4936582
1/5/2021,492,501.399994,489.600006,494.399994,493.862122,3654033
1/6/2021,496,500.649994,484.25,490.899994,490.365906,3295461
1/7/2021,493.899994,523.950012,493.799988,518.099976,517.536255,9879731
1/8/2021,523,526.599976,514.099976,518,517.436401,3702267
1/11/2021,520.599976,524.599976,510.5,519.150024,518.585205,4148831
1/12/2021,519,536.599976,517.099976,525.400024,524.82843,4878024
1/13/2021,529.099976,540.200012,521.299988,536.049988,535.466797,4948731
1/14/2021,534.950012,541,528.400024,532.099976,531.521057,3161306
1/15/2021,534.700012,537.5,518.799988,527.299988,526.726257,3376852
1/18/2021,528,529.099976,502.049988,507.850006,507.297455,5204588
1/19/2021,512.299988,532,512.299988,530.099976,529.523254,4181185
1/20/2021,532.150024,552.150024,531,546.75,546.155151,6681731
1/21/2021,551.400024,552.950012,531.549988,536.900024,536.315918,4208383
1/22/2021,534.049988,546.75,521.599976,526.799988,526.226868,4179558
1/25/2021,530.25,534.400024,509,513.900024,513.340942,3728411
1/27/2021,513.099976,521.549988,507.049988,512.799988,512.242065,2792007
1/28/2021,507.299988,519.5,501.350006,511.850006,511.293121,4197516
1/29/2021,515.200012,525.200012,502.5,506.649994,506.098755,3822560
2/1/2021,510.5,539.5,496.899994,537.200012,536.615601,4004036
2/2/2021,542.049988,566.900024,540.799988,564.200012,563.586182,5144708
2/3/2021,568,576.599976,558.349976,566.599976,565.983521,6087209
2/4/2021,561.950012,611.700012,556,589.700012,589.058411,11184167
2/5/2021,595,607.849976,588.599976,595.349976,594.702271,4754950
2/8/2021,605.400024,638,603.549988,628.299988,627.616455,7085276
2/9/2021,631.450012,641.900024,621,629.849976,629.164734,4510798
2/10/2021,633.049988,654.900024,622.099976,650.700012,649.992065,5991927
2/11/2021,654,661,645.349976,658.599976,657.883423,3688016
2/12/2021,657,724.450012,655.200012,718.950012,718.167786,16810897
2/15/2021,725,787.950012,707.650024,763.450012,762.619385,21579566
2/16/2021,760,802.950012,756.25,780.200012,779.351196,19426061
2/17/2021,787.150024,802,782.25,785.450012,784.595459,8908279
2/18/2021,787.25,824.5,786,808.200012,807.320679,9694238
2/19/2021,813,831,729.5,781.900024,781.049316,20210882
2/22/2021,786,813,780.549988,805.900024,805.023193,10890564
2/23/2021,814.799988,827.299988,789,799.650024,798.780029,9753081
2/24/2021,806,812.049988,795.450012,805.200012,804.323975,4626257
2/25/2021,814,862.400024,809,843.5,842.582336,12118095
2/26/2021,833.900024,861,819.849976,833.650024,832.743042,11355426
3/1/2021,840.75,860.950012,836.450012,851.5,850.573608,5996840
3/2/2021,857.400024,876.5,852.25,872.549988,871.600647,5116413
3/3/2021,880.450012,944.900024,872.849976,915.349976,914.354126,11670544
3/4/2021,910,938.700012,905.400024,918.400024,917.400818,8141787
3/5/2021,918,934,888.299988,909.900024,908.910095,7109101
3/8/2021,918.099976,926.400024,905.099976,910.200012,909.209717,3904469
3/9/2021,918,928.400024,893.599976,905.200012,904.215149,5561849
3/10/2021,911,914.099976,888.700012,898.150024,897.172852,5465016
3/12/2021,905,923.799988,889.299988,894.099976,893.127197,6049852
3/15/2021,898.75,904,874.5,896.200012,895.224976,5234540
3/16/2021,900.700012,904.400024,888.049988,897.799988,896.823242,2555026
3/17/2021,898,905.400024,865,873.900024,872.949219,3886557
3/18/2021,876,891,857.75,871.049988,870.102295,4465851
3/19/2021,866,895.400024,840.200012,889.650024,888.682068,4794995
3/22/2021,892.900024,1003,883.450012,991.049988,989.971741,22596465
3/23/2021,999,1086.699951,991.049988,1058.400024,1057.248535,31098225
3/24/2021,1063,1093,1018.400024,1025.449951,1024.334351,22877032
3/25/2021,1032.949951,1041.449951,977,981.549988,980.482056,13139164
3/26/2021,1000,1018.450012,978,988.299988,987.224731,9396506
3/30/2021,1004,1042.449951,988,1031.550049,1030.427734,10470011
3/31/2021,1038,1053.150024,1016.599976,1031.150024,1030.028198,6440569
4/1/2021,1043.400024,1116.050049,1035,1107.199951,1105.995239,12713083
4/5/2021,1127,1150,1098.849976,1138.25,1137.011597,15795720
4/6/2021,1153.400024,1241,1142.5,1225.400024,1224.066772,21496457
4/7/2021,1233.400024,1251.599976,1108,1165.550049,1164.28186,23007694
4/8/2021,1162.5,1191,1137.75,1162.5,1161.235229,12404773
4/9/2021,1163.400024,1228,1151.199951,1201.400024,1200.092896,12923020
4/12/2021,1177.400024,1177.400024,1061.400024,1074.400024,1073.231201,13690016
4/13/2021,1077,1116.300049,1051.050049,1106.349976,1105.14624,12137329
4/15/2021,1095,1144.900024,1081.349976,1129.949951,1128.720581,9350889
4/16/2021,1130,1192,1112,1159,1157.739014,10661068
4/19/2021,1100,1153,1089,1136.349976,1135.113647,8565063
4/20/2021,1156.849976,1177.699951,1125.050049,1142.75,1141.506714,8261172
4/22/2021,1134,1169,1123,1157.800049,1156.540283,7124786
4/23/2021,1161,1182.900024,1145.650024,1157.599976,1156.340576,6167151
4/26/2021,1160,1197.900024,1160,1173.349976,1172.073364,6939823
4/27/2021,1184.699951,1213.5,1181,1191.150024,1189.854004,7109421
4/28/2021,1207.949951,1213.949951,1180.75,1185.199951,1183.910522,5020151
4/29/2021,1196.550049,1212.650024,1178,1182.300049,1181.013672,4070698
4/30/2021,1171,1200.949951,1143,1158.699951,1157.439331,4232500
5/3/2021,1145.099976,1264.400024,1122.650024,1255.550049,1254.18396,11276228
5/4/2021,1285,1298.949951,1241.849976,1262.5,1261.126343,10271516
5/5/2021,1274.400024,1288.25,1240.25,1267.5,1266.120972,7805805
5/6/2021,1272.349976,1311.849976,1263,1286.75,1285.350098,6240535
5/7/2021,1305,1322.400024,1290.449951,1298.900024,1297.486938,4584524
5/10/2021,1294.900024,1314,1286.300049,1304.099976,1302.68103,3892338
5/11/2021,1292,1326,1284,1303.5,1302.081909,4744734
5/12/2021,1311,1328.5,1278.599976,1285.800049,1284.401123,4143731
5/14/2021,1300,1302,1213.349976,1220.349976,1219.022339,6377643
5/17/2021,1230,1299,1227.449951,1289.099976,1287.69751,7782732
5/18/2021,1314.949951,1344.949951,1302,1326.699951,1325.256592,6531595
5/19/2021,1350,1351.550049,1283.900024,1294.699951,1293.29126,9925284
5/20/2021,1301.300049,1320,1283.949951,1302,1300.583496,5837747
5/21/2021,1320,1336,1300.050049,1315.099976,1313.669189,8314215
5/24/2021,1321.699951,1328.650024,1303,1306.800049,1305.378296,7913411
5/25/2021,1314.349976,1322,1272.900024,1282.75,1281.35437,3697062
5/26/2021,1288.949951,1326.849976,1254.25,1322.800049,1321.36084,5630730
5/27/2021,1329.5,1342,1304.25,1325.800049,1324.357544,36690935
5/28/2021,1311.599976,1330.449951,1298,1302.599976,1301.182861,2979585
5/31/2021,1307.050049,1321.5,1292,1316.300049,1314.86792,2709718
6/1/2021,1319.900024,1430,1309.050049,1416.25,1414.709106,10018645
6/2/2021,1425.550049,1557,1413,1546.75,1545.067139,24541949
6/3/2021,1564,1623.800049,1553,1583.099976,1581.377563,19107244
6/4/2021,1605,1713.550049,1585.800049,1700.949951,1699.099365,21102075
6/7/2021,1715,1717.199951,1613,1624.300049,1622.532837,15350263
6/8/2021,1633,1668,1602.449951,1636.449951,1634.669434,12410257
6/9/2021,1640,1649.449951,1571.849976,1594.650024,1592.915161,11614666
